Row Number,Date,County,Total Cases by Date of Specimen Collection,Total Cases That Were Reinfections,Deaths by Date of Death
158,4/27/2022,Durham ,168,12,0
159,4/26/2022,Durham ,155,11,0
160,4/25/2022,Durham ,156,5,0
161,4/24/2022,Durham ,82,5,0
162,4/23/2022,Durham ,80,4,0
163,4/22/2022,Durham ,118,7,0
164,4/21/2022,Durham ,121,13,0
165,4/20/2022,Durham ,126,4,0
166,4/19/2022,Durham ,151,11,0
167,4/18/2022,Durham ,148,7,1
168,4/17/2022,Durham ,34,1,0
169,4/16/2022,Durham ,52,4,0
170,4/15/2022,Durham ,77,6,0
171,4/14/2022,Durham ,119,10,1
172,4/13/2022,Durham ,148,7,0
173,4/12/2022,Durham ,129,5,0
174,4/11/2022,Durham ,89,3,0
175,4/10/2022,Durham ,29,3,0
176,4/9/2022,Durham ,39,0,0
177,4/8/2022,Durham ,81,6,0
178,4/7/2022,Durham ,75,5,1
179,4/6/2022,Durham ,74,3,1
180,4/5/2022,Durham ,71,5,2
